device_name,adom,serial,ip,platform,os_version,conn_status,db_status,policy_package,policy_status
cl-fw-nla-MartMinas-252,MART_MINAS,FGT40FTK21099A39,201.55.102.137,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-MartMinas_Lojas,🟡 Modified
cl-fw-nri-DOM-107-Niteroi,DOM_ATACAREJO,FGT40FTK2209HJ3K,138.99.135.9,FortiGate-40F,v7.0.10,🟢 Up,✅ In-Sync,cl-fw-rjo-DOM-107-Niteroi,❓ Unknown
cl-fw-oci-MartMinas-A,MART_MINAS,FGVMSLTM26003257,144.22.171.225,FortiGate-VM64-OPC,v7.0.13,🟢 Up,✅ In-Sync,N/A,⚪ N/A
cl-fw-oci-martminas-dr,MART_MINAS,FGVM4VTM24000943,204.216.145.80,FortiGate-VM64-OPC,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-oci-martminas-dr,❓ Unknown
cl-fw-pcs-MartMinas-242,MART_MINAS,FGT40FTK21020828,179.108.114.13,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-MartMinas_Lojas,🟡 Modified
cl-fw-plo-MartMinas-280,MART_MINAS,FGT40FTK2209EUJH,45.181.186.3,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,N/A,⚪ N/A
cl-fw-pms-MartMinas-213,MART_MINAS,FGT40FTK21099E1L,201.48.100.34,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-MartMinas_Lojas,🟡 Modified
cl-fw-pms-MartMinas-245,MART_MINAS,FGT40FTK21049973,187.32.128.209,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-MartMinas_Lojas,🟡 Modified
cl-fw-prr-MartMinas-272,MART_MINAS,FGT40FTK2209ESM4,189.112.51.213,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-MartMinas_Lojas,🟡 Modified
cl-fw-prs-MartMinas-226,MART_MINAS,FGT40FTK21050901,179.109.160.98,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-MartMinas_Lojas,🟡 Modified
cl-fw-psa-MartMinas-216,MART_MINAS,FGT40FTK21099FY5,201.48.194.217,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-MartMinas_Lojas,🟡 Modified
cl-fw-pso-MartMinas-231,MART_MINAS,FGT40FTK21099A0C,191.53.144.17,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-MartMinas_Lojas,🟡 Modified
cl-fw-ptc-MartMinas-225,MART_MINAS,FGT40FTK21048262,187.32.25.121,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-MartMinas_Lojas,🟡 Modified
cl-fw-pts-DOM-130-Petropolis,DOM_ATACAREJO,FGT40FTK2409BYMV,45.239.25.208,FortiGate-40F,v7.0.10,🟢 Up,✅ In-Sync,N/A,⚪ N/A
cl-fw-ptu-MartMinas-224,MART_MINAS,FGT40FTK21056118,189.112.248.137,FortiGate-40F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-MartMinas_Lojas,🟡 Modified
cl-fw-rjo-DOM-101-Realengo,DOM_ATACAREJO,FGT40FTK23099AD9,187.108.46.49,FortiGate-40F,v7.0.10,🟢 Up,✅ In-Sync,cl-fw-rjo-DOM-101-Realengo,❓ Unknown
cl-fw-rjo-DOM-102-Taquara,DOM_ATACAREJO,FGT40FTK23090156,201.55.101.197,FortiGate-40F,v7.0.10,🟢 Up,✅ In-Sync,cl-fw-rjo-DOM-102-Taquara,❓ Unknown
