device_name,hostname,adom,serial,platform,os_version,status,file_size_bytes,file_size_kb,file_path,error_message
cl-fw-bhe-MartMinas-283,cl-fw-bhe-MartMinas-283,MART_MINAS,FGT40FTK2209EY8H,FortiGate-40F,v7.0.13,✅ Sucesso,696298,679.98,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/MART_MINAS/cl-fw-bhe-MartMinas-283-17-05-47.conf,
cl-fw-bhe-MartMinas-286,cl-fw-bhe-MartMinas-286,MART_MINAS,FGT40FTK2209EYC6,FortiGate-40F,v7.0.13,✅ Sucesso,705245,688.72,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/MART_MINAS/cl-fw-bhe-MartMinas-286-17-05-47.conf,
cl-fw-bhe-marminas-LMN,cl-fw-bhe-marminas-LMN,MART_MINAS,FGT40FTK23090232,FortiGate-40F,v7.0.13,✅ Sucesso,503714,491.91,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/MART_MINAS/cl-fw-bhe-marminas-LMN-17-05-47.conf,
cl-fw-bhe-martminas-escr-a,cl-fw-bhe-martminas-escr-a,MART_MINAS,FG4H0FT923907078,FortiGate-400F,v7.0.11,✅ Sucesso,895228,874.25,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/MART_MINAS/cl-fw-bhe-martminas-escr-a-17-05-47.conf,
cl-fw-cem-MartMinas-202,cl-fw-cem-MartMinas-202,MART_MINAS,FGT40FTK21099A23,FortiGate-40F,v7.0.13,❌ Falha,0,0.0,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/MART_MINAS/cl-fw-cem-MartMinas-202-17-05-47.conf,No permission for the resource
cl-fw-cem-MartMinas-211,cl-fw-cem-MartMinas-211,MART_MINAS,FGT40FTK21050504,FortiGate-40F,v7.0.13,✅ Sucesso,747929,730.4,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/MART_MINAS/cl-fw-cem-MartMinas-211-17-05-47.conf,
cl-fw-cem-MartMinas-235,cl-fw-cem-MartMinas-235,MART_MINAS,FGT40FTK21052000,FortiGate-40F,v7.0.13,✅ Sucesso,745123,727.66,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/MART_MINAS/cl-fw-cem-MartMinas-235-17-05-47.conf,
cl-fw-cem-MartMinas-CD,cl-fw-cem-MartMinas-CD,MART_MINAS,FG100FTK23074620,FortiGate-100F,v7.0.11,✅ Sucesso,627184,612.48,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/MART_MINAS/cl-fw-cem-MartMinas-CD-17-05-47.conf,
cl-fw-cet-MartMinas-281,cl-fw-cet-MartMinas-281,MART_MINAS,FGT40FTK2209EV14,FortiGate-40F,v7.0.13,✅ Sucesso,690196,674.02,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/MART_MINAS/cl-fw-cet-MartMinas-281-17-05-47.conf,
cl-fw-cga-MartMinas-256,cl-fw-cga-MartMinas-256,MART_MINAS,FGT40FTK21099AXB,FortiGate-40F,v7.0.13,✅ Sucesso,708715,692.1,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/MART_MINAS/cl-fw-cga-MartMinas-256-17-05-47.conf,
cl-fw-cng-MartMinas-257,cl-fw-cng-MartMinas-257,MART_MINAS,FGT40FTK21099CEQ,FortiGate-40F,v7.0.13,✅ Sucesso,721511,704.6,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/MART_MINAS/cl-fw-cng-MartMinas-257-17-05-47.conf,
cl-fw-cnl-MartMinas-234,cl-fw-cnl-MartMinas-234,MART_MINAS,FGT40FTK21099AHT,FortiGate-40F,v7.0.13,✅ Sucesso,722375,705.44,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/MART_MINAS/cl-fw-cnl-MartMinas-234-17-05-47.conf,
cl-fw-cpo-MartMinas-248,cl-fw-cpo-MartMinas-248,MART_MINAS,FGT40FTK21020839,FortiGate-40F,v7.0.13,❌ Falha,0,0.0,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/MART_MINAS/cl-fw-cpo-MartMinas-248-17-05-47.conf,No permission for the resource
cl-fw-cuv-MartMinas-267,cl-fw-cuv-MartMinas-267,MART_MINAS,FGT40FTK21099BBN,FortiGate-40F,v7.0.13,❌ Falha,0,0.0,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/MART_MINAS/cl-fw-cuv-MartMinas-267-17-05-47.conf,No permission for the resource
cl-fw-dvl-MartMinas-201,cl-fw-dvl-MartMinas-201,MART_MINAS,FGT40FTK23091485,FortiGate-40F,v7.0.13,✅ Sucesso,770910,752.84,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/MART_MINAS/cl-fw-dvl-MartMinas-201-17-05-47.conf,
cl-fw-dvl-MartMinas-237,cl-fw-dvl-MartMinas-237,MART_MINAS,FGT40FTK21009098,FortiGate-40F,v7.0.13,✅ Sucesso,715199,698.44,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/MART_MINAS/cl-fw-dvl-MartMinas-237-17-05-47.conf,
cl-fw-exm-MartMinas-264,cl-fw-exm-MartMinas-264,MART_MINAS,FGT40FTK21007895,FortiGate-40F,v7.0.13,✅ Sucesso,729753,712.65,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/MART_MINAS/cl-fw-exm-MartMinas-264-17-05-47.conf,
cl-fw-gvs-MartMinas-205,cl-fw-gvs-MartMinas-205,MART_MINAS,FGT40FTK21054201,FortiGate-40F,v7.0.13,✅ Sucesso,720329,703.45,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/MART_MINAS/cl-fw-gvs-MartMinas-205-17-05-47.conf,
cl-fw-ian-MartMinas-232,cl-fw-ian-MartMinas-232,MART_MINAS,FGT40FTK21051182,FortiGate-40F,v7.0.13,✅ Sucesso,715064,698.3,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/MART_MINAS/cl-fw-ian-MartMinas-232-17-05-47.conf,
cl-fw-iba-MartMinas-239,cl-fw-iba-MartMinas-239,MART_MINAS,FGT40FTK21099AHS,FortiGate-40F,v7.0.13,✅ Sucesso,710389,693.74,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/MART_MINAS/cl-fw-iba-MartMinas-239-17-05-47.conf,
cl-fw-iie-MartMinas-276,cl-fw-iie-MartMinas-276,MART_MINAS,FGT40FTK2209EUV4,FortiGate-40F,v7.0.11,✅ Sucesso,708328,691.73,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/MART_MINAS/cl-fw-iie-MartMinas-276-17-05-47.conf,
cl-fw-iua-MartMinas-214,cl-fw-iua-MartMinas-214,MART_MINAS,FGT40FTK21050985,FortiGate-40F,v7.0.13,✅ Sucesso,727762,710.71,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/MART_MINAS/cl-fw-iua-MartMinas-214-17-05-47.conf,
cl-fw-jfa-MartMinas-206,cl-fw-jfa-MartMinas-206,MART_MINAS,FGT40FTK21099AFM,FortiGate-40F,v7.0.13,✅ Sucesso,715319,698.55,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/MART_MINAS/cl-fw-jfa-MartMinas-206-17-05-47.conf,
cl-fw-jfa-MartMinas-253,cl-fw-jfa-MartMinas-253,MART_MINAS,FGT40FTK21099FU9,FortiGate-40F,v7.0.13,✅ Sucesso,730926,713.79,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/MART_MINAS/cl-fw-jfa-MartMinas-253-17-05-47.conf,
cl-fw-jml-MartMinas-244,cl-fw-jml-MartMinas-244,MART_MINAS,FGT40FTK21025358,FortiGate-40F,v7.0.13,✅ Sucesso,744739,727.28,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/MART_MINAS/cl-fw-jml-MartMinas-244-17-05-47.conf,
cl-fw-jnu-MartMinas-274,cl-fw-jnu-MartMinas-274,MART_MINAS,FGT40FTK2209ESTH,FortiGate-40F,v7.0.13,❌ Falha,0,0.0,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/MART_MINAS/cl-fw-jnu-MartMinas-274-17-05-47.conf,No permission for the resource
cl-fw-jpi-MartMinas-254,cl-fw-jpi-MartMinas-254,MART_MINAS,FGT40FTK21099037,FortiGate-40F,v7.0.13,❌ Falha,0,0.0,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/MART_MINAS/cl-fw-jpi-MartMinas-254-17-05-47.conf,No permission for the resource
cl-fw-jua-MartMinas-250,cl-fw-jua-MartMinas-250,MART_MINAS,FGT40FTK210999UC,FortiGate-40F,v7.0.13,✅ Sucesso,725954,708.94,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/MART_MINAS/cl-fw-jua-MartMinas-250-17-05-47.conf,
cl-fw-lav-MartMinas-229,cl-fw-lav-MartMinas-229,MART_MINAS,FGT40FTK21099AQE,FortiGate-40F,v7.0.13,✅ Sucesso,730099,712.99,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/MART_MINAS/cl-fw-lav-MartMinas-229-17-05-47.conf,
