ADOM,Device,Hostname,Serial,Version,R01,R02,R03,R04,R05,R06,R07,R08,R09,R10,R11,R12,R13
DOM_ATACAREJO,cl-fw-nri-DOM-107-Niteroi,cl-fw-nri-DOM-107-Niteroi,FGT40FTK2209HJ3K,7.0,AUSENTE,OK,AUSENTE,AUSENTE,OK,OK,AUSENTE,OK,AUSENTE,AUSENTE,AUSENTE,OK,AUSENTE
DOM_ATACAREJO,cl-fw-pts-DOM-130-Petropolis,cl-fw-pts-DOM-130-Petropolis,FGT40FTK2409BYMV,7.0,AUSENTE,OK,AUSENTE,AUSENTE,OK,OK,AUSENTE,OK,AUSENTE,AUSENTE,AUSENTE,OK,AUSENTE
DOM_ATACAREJO,cl-fw-rjo-DOM-101-Realengo,cl-fw-rjo-DOM-101-Realengo,FGT40FTK23099AD9,7.0,AUSENTE,OK,AUSENTE,AUSENTE,OK,OK,AUSENTE,OK,AUSENTE,AUSENTE,AUSENTE,OK,AUSENTE
DOM_ATACAREJO,cl-fw-rjo-DOM-102-Taquara,cl-fw-rjo-DOM-102-Taquara,FGT40FTK23090156,7.0,AUSENTE,OK,AUSENTE,AUSENTE,OK,OK,AUSENTE,OK,AUSENTE,AUSENTE,AUSENTE,OK,AUSENTE
DOM_ATACAREJO,cl-fw-rjo-DOM-106-Inhauma,cl-fw-rjo-DOM-106-Inhauma,FGT40FTK2209HHJ7,7.0,AUSENTE,OK,AUSENTE,AUSENTE,OK,OK,AUSENTE,OK,AUSENTE,AUSENTE,AUSENTE,OK,AUSENTE
DOM_ATACAREJO,cl-fw-rjo-DOM-113-SaoPedro,cl-fw-rjo-DOM-113-SaoPedro,FGT40FTK21052462,7.0,AUSENTE,OK,AUSENTE,AUSENTE,OK,OK,AUSENTE,OK,AUSENTE,AUSENTE,AUSENTE,OK,AUSENTE
DOM_ATACAREJO,cl-fw-rjo-DOM-114-CampoGran,cl-fw-rjo-DOM-114-CampoGran,FGT40FTK21050604,7.0,AUSENTE,OK,AUSENTE,AUSENTE,OK,OK,AUSENTE,OK,AUSENTE,AUSENTE,AUSENTE,OK,AUSENTE
DOM_ATACAREJO,cl-fw-rjo-DOM-115-Campos1,cl-fw-rjo-DOM-115-Campos1,FGT40FTK23099242,7.0,AUSENTE,OK,AUSENTE,AUSENTE,OK,OK,AUSENTE,OK,AUSENTE,AUSENTE,AUSENTE,OK,AUSENTE
DOM_ATACAREJO,cl-fw-rjo-DOM-117-Caxias2,cl-fw-rjo-DOM-117-Caxias2,FGT40FTK2209HHS6,7.0,AUSENTE,OK,AUSENTE,AUSENTE,OK,OK,AUSENTE,OK,AUSENTE,AUSENTE,AUSENTE,OK,AUSENTE
DOM_ATACAREJO,cl-fw-rjo-DOM-120-Itaperuna,cl-fw-rjo-DOM-120-Itaperuna,FGT40FTK22099S03,7.0,AUSENTE,OK,AUSENTE,AUSENTE,OK,OK,AUSENTE,OK,AUSENTE,AUSENTE,AUSENTE,OK,AUSENTE
DOM_ATACAREJO,cl-fw-rjo-DOM-121-Campos2,cl-fw-rjo-DOM-121-Campos2,FGT40FTK23099557,7.0,AUSENTE,OK,AUSENTE,AUSENTE,OK,OK,AUSENTE,OK,AUSENTE,AUSENTE,AUSENTE,OK,AUSENTE
DOM_ATACAREJO,cl-fw-rjo-DOM-124-mesquita,cl-fw-rjo-DOM-124-mesquita,FGT40FTK23092498,7.0,AUSENTE,OK,AUSENTE,AUSENTE,OK,OK,AUSENTE,OK,AUSENTE,AUSENTE,AUSENTE,OK,AUSENTE
DOM_ATACAREJO,cl-fw-rjo-DOM-129-Iguacu,cl-fw-rjo-DOM-129-Iguacu,FGT40FTK2109A2H7,7.0,AUSENTE,OK,AUSENTE,AUSENTE,OK,OK,AUSENTE,OK,AUSENTE,AUSENTE,AUSENTE,OK,AUSENTE
DOM_ATACAREJO,cl-fw-rjo-DOM-RioCentro-MTZ,cl-fw-rjo-DOM-RioCentro-MTZ,FG100FTK23024786,7.0,AUSENTE,OK,AUSENTE,AUSENTE,OK,OK,AUSENTE,OK,AUSENTE,AUSENTE,AUSENTE,OK,AUSENTE
DOM_ATACAREJO,cl-fw-rsd-DOM-116-Resende,cl-fw-rsd-DOM-116-Resende,FGT40FTK2209HH50,7.0,AUSENTE,OK,AUSENTE,AUSENTE,OK,OK,AUSENTE,OK,AUSENTE,AUSENTE,AUSENTE,OK,AUSENTE
DOM_ATACAREJO,cl-fw-sgo-DOM-127-Sao_Goncalo,cl-fw-sgo-DOM-127-Sao_Goncalo,FGT40FTK22067878,7.0,AUSENTE,OK,AUSENTE,AUSENTE,OK,OK,AUSENTE,OK,AUSENTE,AUSENTE,AUSENTE,OK,AUSENTE
DOM_ATACAREJO,cl-fw-smi-DOM-105-SJMeriti,cl-fw-smi-DOM-105-SJMeriti,FGT40FTK2209HHR3,7.0,AUSENTE,OK,AUSENTE,AUSENTE,OK,OK,AUSENTE,OK,AUSENTE,AUSENTE,AUSENTE,OK,AUSENTE
DOM_ATACAREJO,cl-fw-trl-DOM-108-Teresopolis,cl-fw-trl-DOM-108-Teresopolis,FGT40FTK2209HHH6,7.0,AUSENTE,OK,AUSENTE,AUSENTE,OK,OK,AUSENTE,OK,AUSENTE,AUSENTE,AUSENTE,OK,AUSENTE
